,age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-class
0,0.030670557354391753,0,13,0,0,0,0,0,0.14845289521747937,-0.21665952703259014,-0.03542944697277691,0,0
1,0.8371089803598137,1,13,1,1,1,0,0,-0.14592048355885345,-0.21665952703259014,-2.222153121346258,0,0
2,-0.042642026555192065,2,9,2,2,0,0,0,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,0,0
3,1.0570467320885653,2,7,1,2,1,1,0,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,0,0
4,-0.7757678656510302,2,13,1,3,2,1,1,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,1,0
5,-0.11595461046477588,2,14,1,1,2,0,1,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,0,0
6,0.7637963964502299,2,5,3,4,0,1,1,-0.14592048355885345,-0.21665952703259014,-1.979183824193649,2,0
7,0.9837341481789813,1,9,1,1,1,0,0,-0.14592048355885345,-0.21665952703259014,0.3695193816149048,0,1
8,-0.5558301139222788,2,14,0,3,0,0,1,1.761142380602081,-0.21665952703259014,0.7744682102025865,0,1
9,0.2506083090831432,2,13,1,1,1,0,0,0.5552135345201951,-0.21665952703259014,-0.03542944697277691,0,1
10,-0.11595461046477588,2,10,1,1,1,1,0,-0.14592048355885345,-0.21665952703259014,3.2041611817286766,0,1
11,-0.6291426978318626,0,13,1,3,1,2,0,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,3,1
12,-1.1423307851989493,2,13,0,0,3,0,1,-0.14592048355885345,-0.21665952703259014,-0.8453271041481403,0,0
13,-0.482517530012695,2,12,0,5,0,1,0,-0.14592048355885345,-0.21665952703259014,0.7744682102025865,0,0
14,0.10398314126397556,2,11,1,6,1,2,0,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,4,1
15,-0.3358923621935273,2,4,1,7,1,3,0,-0.14592048355885345,-0.21665952703259014,0.3695193816149048,5,0
16,-0.9957056173797817,1,9,0,8,3,0,0,-0.14592048355885345,-0.21665952703259014,-0.4403782755604586,0,0
17,-0.482517530012695,2,9,0,9,4,0,0,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,0,0
18,-0.042642026555192065,2,7,1,5,1,0,0,-0.14592048355885345,-0.21665952703259014,0.7744682102025865,0,0
19,0.323920892992727,1,14,2,1,4,0,1,-0.14592048355885345,-0.21665952703259014,0.3695193816149048,0,1
20,0.10398314126397556,2,16,1,3,1,0,0,-0.14592048355885345,-0.21665952703259014,1.58436586737795,0,1
21,1.130359315998149,2,9,4,4,4,1,1,-0.14592048355885345,-0.21665952703259014,-1.6552247613235038,0,0
22,-0.2625797782839435,3,5,1,8,1,1,0,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,0,0
23,0.323920892992727,2,7,1,7,1,0,0,-0.14592048355885345,4.850916036876398,-0.03542944697277691,0,0
24,1.496922235546068,2,9,2,10,4,0,1,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,0,0
25,1.2769844838173166,4,13,1,10,1,0,0,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,0,1
26,-1.4355811208372846,2,9,0,6,3,0,0,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,0,0
27,1.130359315998149,5,10,1,11,1,2,0,-0.14592048355885345,-0.21665952703259014,1.58436586737795,6,1
28,0.030670557354391753,2,9,2,1,0,0,0,-0.14592048355885345,-0.21665952703259014,3.2041611817286766,0,0
29,0.7637963964502299,2,9,1,6,1,0,0,-0.14592048355885345,-0.21665952703259014,-0.03542944697277691,0,0
